timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.0664442926645279,0.15890919808298348,-3.688876932859421,1.4901161e-07,0.0,-2.407150983810425,-0.0001555775098839751
600,0.06672567874193192,0.12493180874735117,-3.688875824213028,2.0891429e-07,0.0,-3.464468002319336,-0.00015840715052468647
800,0.058959465473890305,0.17840830218046905,-3.6888750791549683,3.6925076e-07,0.0,-0.7154024839401245,-0.00017848503588038244
1000,0.08126473426818848,0.13891893513500692,-3.688875126838684,3.7938358e-07,0.0,-2.0875132083892822,-0.00019514308804935432
1200,0.05496237054467201,0.14268958941102028,-3.6888745963573455,4.529953e-07,0.0,-1.112849235534668,-0.00021282483719482493
1400,0.06593689322471619,0.1580411594361067,-3.6888737320899962,3.540516e-07,0.0,-1.3995733261108398,-0.00019566991960551228
1600,0.08340489864349365,0.13495189510285854,-3.6888733386993406,2.8818846e-07,0.0,-0.9316096305847168,-0.00015885545219251895
1800,0.07765106856822968,0.12947991862893105,-3.6888731181621552,2.9057264e-07,0.0,-1.332275629043579,-0.00015426822723362265
2000,0.07320309430360794,0.16428164169192314,-3.6888731122016907,3.3617022e-07,0.0,-0.9908733367919922,-0.0001780337981010849
2200,0.04204818233847618,0.10661711934953928,-3.688872843980789,2.4467707e-07,0.0,-1.5389587879180908,-0.00013709469175909872
2400,0.08522126078605652,0.1317055495455861,-3.6888723254203795,2.8610228e-07,0.0,-0.8338253498077393,-0.00015762273997463883
2600,0.08938108384609222,0.1408841134980321,-3.688872295618057,2.6404857e-07,0.0,-0.9962193965911865,-0.00015884191567003825
2800,0.04174654185771942,0.09123015254735947,-3.6888719499111176,3.1977893e-07,0.0,-4.407151222229004,-0.00015984296687276967
3000,0.06862242519855499,0.09837789246812463,-3.6888708233833314,3.8295985e-07,0.0,-0.7966048717498779,-0.00019342549071301728
3200,0.06003943830728531,0.0973593607544899,-3.6888704717159273,2.0086766e-07,0.0,-0.6758071184158325,-0.0001240048212409306
3400,0.07295837998390198,0.17887638360261918,-3.6888700664043426,2.2500754e-07,0.0,-0.2962949275970459,-0.0001470024881445653
3600,0.07390634715557098,0.11980105601251126,-3.688870018720627,3.042817e-07,0.0,-0.47016406059265137,-0.00017322906774228653
3800,0.048924751579761505,0.10528899934142828,-3.6888695538043974,3.8176776e-07,0.0,-1.2458629608154297,-0.0001859518296407403
4000,0.04390288144350052,0.08251291532069445,-3.688869321346283,4.2021273e-07,0.0,-3.051823616027832,-0.00020540061657777774
4200,0.09569171816110611,0.1295859819278121,-3.6888688087463377,3.6925078e-07,0.0,-0.8669795989990234,-0.0001745884571411782
4400,0.031347714364528656,0.06928733801469207,-3.6888686537742617,3.1530857e-07,0.0,-4.210646152496338,-0.00017297117492904858
4600,0.04443206265568733,0.08428661245852709,-3.6888687193393705,2.092123e-07,0.0,-1.2554066181182861,-0.00012251756314229922
4800,0.04341191425919533,0.09309519957751036,-3.6888686776161195,2.0295381e-07,0.0,-0.5976442098617554,-0.00011264975409210897
5000,0.0831432193517685,0.14519381932914258,-3.6888688504695892,2.4974347e-07,0.0,-0.8014006614685059,-0.0001629981254265722
5200,0.0582047738134861,0.11754568135365843,-3.6888681411743165,3.695488e-07,0.0,-0.3373525142669678,-0.000183580032310382
5400,0.04732199385762215,0.10976340435445309,-3.6888678550720213,3.9488077e-07,0.0,-1.3082501888275146,-0.00019482892827806796
5600,0.025663284584879875,0.06640335125848651,-3.688867998123169,2.8461218e-07,0.0,-1.7128520011901855,-0.00016251617551095167
5800,0.03898695856332779,0.07100282600149513,-3.68886838555336,3.0010938e-07,0.0,-0.7380216121673584,-0.00016057756533518485
6000,0.06147075071930885,0.08827955182641745,-3.6888681292533874,3.9339068e-07,0.0,-0.8318228721618652,-0.00018311064010623213
6200,0.0263129323720932,0.051037358585745096,-3.6888677954673765,4.0382147e-07,0.0,-1.17970609664917,-0.00017843888722341995
6400,0.022491518408060074,0.0479810930788517,-3.688866949081421,3.1203032e-07,0.0,-1.2220280170440674,-0.0001670927397902644
6600,0.03395410627126694,0.05999418376013636,-3.688866549730301,2.655387e-07,0.0,-0.7647595405578613,-0.00015379697111654876
6800,0.03956405073404312,0.09262569416314363,-3.68886638879776,2.9057264e-07,0.0,-0.4670252799987793,-0.00015550647580329092
7000,0.02123909443616867,0.040219161473214624,-3.6888664245605467,1.5765428e-07,0.0,-1.43782639503479,-9.829150874174353e-05
7200,0.02552349865436554,0.06026524659246206,-3.6888659417629244,2.6792287e-07,0.0,-1.3513154983520508,-0.00014496754876642816
7400,0.03649313375353813,0.06395035171881318,-3.688866114616394,3.004074e-07,0.0,-0.4387495517730713,-0.00016862197411642298
7600,0.02591320499777794,0.05667015695944429,-3.6888642013072968,3.749132e-07,0.0,-2.0918328762054443,-0.00019917641048516343
7800,0.021846305578947067,0.04421775490045547,-3.688862121105194,3.5375356e-07,0.0,-0.35600781440734863,-0.00018690876693394642
8000,0.02350779063999653,0.06560256676748395,-3.6888623893260957,3.5077335e-07,0.0,-0.19678819179534912,-0.00017410937721502596
8200,0.04220222309231758,0.127780516538769,-3.6888609707355497,3.2633545e-07,0.0,-0.16734230518341064,-0.00013471138396130565
8400,0.018078487366437912,0.040412633400410417,-3.6888612389564512,3.427267e-07,0.0,-1.3905787467956543,-0.00017166227081975017
8600,0.015725744888186455,0.03245599889196456,-3.68886085152626,3.501773e-07,0.0,-1.451897382736206,-0.00020173405149961354
8800,0.028739692643284798,0.0690127239562571,-3.6888588547706602,2.8580428e-07,0.0,-0.34824955463409424,-0.00014664851140093748
9000,0.024841994047164917,0.03783390000462532,-3.6888584196567535,3.2752752e-07,0.0,-2.0285120010375977,-0.00016202966930380924
9200,0.041134513914585114,0.058657892234623435,-3.6888590514659882,3.629923e-07,0.0,-0.29797279834747314,-0.00016512714919201255
9400,0.012367269024252892,0.025041453074663877,-3.688858312368393,3.904104e-07,0.0,-2.8113858699798584,-0.00017956851364853144
9600,0.018759710714221,0.0626501314342022,-3.6888569474220274,2.1666288e-07,0.0,-0.535574197769165,-0.00011961325188520888
9800,0.021325161680579185,0.0430458293762058,-3.688857388496399,3.0755996e-07,0.0,-0.7890896797180176,-0.00015627268011678686
10000,0.035487815737724304,0.0828743421472609,-3.6888561606407166,2.1487473e-07,0.0,-0.05679607391357422,-0.00013051567244428685
10200,0.0348656103014946,0.0713301783427596,-3.688854855298996,2.1308661e-07,0.0,-0.3331489562988281,-0.00012665283704089148
10400,0.025082450360059738,0.04459467809647322,-3.688855266571045,3.4064055e-07,0.0,-0.8667887449264526,-0.00016880444481999214
10600,0.02904718928039074,0.04477449459955096,-3.688855743408203,3.6984682e-07,0.0,-0.2316223382949829,-0.00018225414998962464
10800,0.027466081082820892,0.047856049705296756,-3.6888544499874114,1.770258e-07,0.0,-0.061304688453674316,-0.00011823661606409352
11000,0.040460776537656784,0.07927656285464764,-3.688853049278259,3.4064055e-07,0.0,-0.19674646854400635,-0.00019058520991086514
11200,0.014958045445382595,0.04289821446873247,-3.6888509392738342,4.8846005e-07,0.0,-0.292361855506897,-0.00022350265112662803
11400,0.023132821545004845,0.0327307527884841,-3.68884938955307,3.4570692e-07,0.0,-0.354236364364624,-0.0002006498720840355
11600,0.020800519734621048,0.06738133137114347,-3.688847726583481,3.325939e-07,0.0,-0.09991121292114258,-0.00015217547917201202
11800,0.014687087386846542,0.03873577262274921,-3.6888468325138093,3.054738e-07,0.0,-0.5000449419021606,-0.0001539958420676113
12000,0.02529790624976158,0.03602473651990294,-3.688844007253647,2.4646522e-07,0.0,-0.5365158319473267,-0.0001305833012995583
12200,0.023407991975545883,0.04266837290488183,-3.688845640420914,2.0861626e-07,0.0,0.00910651683807373,-0.00013107443802522488
12400,0.010475033894181252,0.03155967877246439,-3.688845533132553,2.795458e-07,0.0,-0.13334310054779053,-0.00014578461581618018
12600,0.00929368194192648,0.0293516946490854,-3.6888447284698485,4.1514633e-07,0.0,-0.39898765087127686,-0.00019211117101973761
12800,0.009656076319515705,0.03237834530882537,-3.6888460516929626,3.7312506e-07,0.0,-0.06694364547729492,-0.00017338422694876954
13000,0.012294820509850979,0.019655333552509546,-3.6888456761837007,2.849102e-07,0.0,-0.3589688539505005,-0.00014403638246005546
13200,0.019874613732099533,0.027663358976133166,-3.6888485193252563,2.8520822e-07,0.0,-0.050837039947509766,-0.0001647542105130295
13400,0.016465915367007256,0.03149185534566641,-3.6888493418693544,1.9311905e-07,0.0,-0.275882363319397,-0.00011650720258247205
13600,0.017999595031142235,0.026184399682097136,-3.6888479232788085,3.015995e-07,0.0,-0.3544822931289673,-0.00017890268602775982
13800,0.0119512639939785,0.05524217872880399,-3.6888462901115417,3.2126906e-07,0.0,-0.09785342216491699,-0.00013449475154714285
14000,0.039546072483062744,0.07371844472363591,-3.688848692178726,1.8417835e-07,0.0,0.0182076096534729,-0.00010613871689271192
14200,0.026595214381814003,0.031910923798568545,-3.6888480365276335,1.8835068e-07,0.0,-0.037893056869506836,-0.00011187836530055507
14400,0.11896610260009766,0.12638361556455494,-3.688845145702362,2.2411348e-07,0.0,-0.08381915092468262,-0.0001278614130028499
14600,0.009467595256865025,0.01416564399842173,-3.6888461887836455,4.10378e-07,0.0,-0.10219454765319824,-0.00018654954426307048
