timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.14982356131076813,0.5961380854249001,-3.688850927352905,1.143897e-06,0.0,-6.165190696716309,-0.0003790141694480553
600,1.2416610717773438,2.1634114742279054,-3.688848727941513,8.416828e-07,0.0,-2.0038931369781494,-0.0002093908260576427
800,0.8454827070236206,1.995519882440567,-3.6888467490673067,1.2151431e-06,0.0,-0.5103437900543213,-0.00033190564718097446
1000,1.2553890943527222,2.253710514307022,-3.688844990730286,5.1944517e-07,0.0,-5.682898998260498,-0.00019154822221025824
1200,1.048025131225586,1.880745130777359,-3.6888478219509127,9.157229e-07,0.0,-1.772949457168579,-0.0002942277365946211
1400,1.155662178993225,1.923078727722168,-3.688849318027496,9.1595575e-07,0.0,-3.6925930976867676,-0.0002524200128391385
1600,0.910243570804596,1.9438270449638366,-3.6888481616973876,6.733462e-07,0.0,-0.6878060102462769,-0.0002033092430792749
1800,1.0031455755233765,1.8903469890356064,-3.688847142457962,9.874348e-07,0.0,-0.6361688375473022,-0.0002825565403327346
2000,0.6863453984260559,1.7800617575645448,-3.6888455033302305,1.1827797e-06,0.0,-2.318908929824829,-0.0003476423444226384
2200,0.9040207862854004,1.7227566540241241,-3.68884619474411,1.182314e-06,0.0,-1.3552443981170654,-0.0002733139437623322
2400,0.9983128309249878,2.13877794444561,-3.6888464629650115,1.300592e-06,0.0,-3.1206159591674805,-0.00028765290044248105
2600,0.9828592538833618,1.5662051528692245,-3.68884699344635,9.1758557e-07,0.0,-1.1392536163330078,-0.000238270778208971
2800,0.7318481802940369,1.813392698764801,-3.6888426005840302,8.8242814e-07,0.0,-1.1221981048583984,-0.0002499122638255358
3000,0.6868168711662292,2.024827057123184,-3.68883935213089,8.4377825e-07,0.0,-6.773582458496094,-0.00022491475101560354
3200,0.8706176280975342,1.9377722263336181,-3.6888360261917112,8.319039e-07,0.0,-1.7384095191955566,-0.00022203673142939806
3400,0.9373272657394409,1.6721647650003433,-3.6888363122940064,7.0245005e-07,0.0,-1.075474739074707,-0.00020229736110195519
3600,0.6703966856002808,1.805045136809349,-3.6888339936733248,1.1986122e-06,0.0,-1.6080687046051025,-0.00033683564979583027
3800,0.7803665399551392,1.8050522714853288,-3.6888341128826143,7.8813173e-07,0.0,-2.918497085571289,-0.00016218149103224276
4000,0.7261359691619873,1.4547152310609817,-3.6888346135616303,1.1033844e-06,0.0,-1.5172333717346191,-0.0002584080444648862
4200,0.9041535258293152,1.7158885166049003,-3.688834178447723,9.56934e-07,0.0,-2.3484673500061035,-0.00019376752898097037
4400,0.9640882015228271,1.7565555453300477,-3.6888364374637606,8.302741e-07,0.0,-1.6988332271575928,-0.0002019386854954064
4600,0.5642692446708679,1.5006293028593063,-3.6888357281684874,1.1010561e-06,0.0,-1.4252471923828125,-0.0002660325495526195
4800,1.1839945316314697,2.3629781186580656,-3.6888371109962463,6.2887557e-07,0.0,-0.7416788339614868,-0.0001924880954902619
5000,0.9716513156890869,2.1120816618204117,-3.688832187652588,5.0407834e-07,0.0,-1.311011552810669,-0.00012250025756657123
5200,1.1454107761383057,1.718591609597206,-3.6888300359249113,1.0537915e-06,0.0,-6.719550132751465,-0.00027056022081524135
5400,0.08460459858179092,0.25874916948378085,-3.688830441236496,4.2528845e-06,0.0,-2.286266803741455,-0.0005878249299712479
5600,0.5561878085136414,1.097628679871559,-3.6888207852840424,2.1045562e-06,0.0,-2.232478618621826,-0.0003354690270498395
5800,0.686364471912384,1.3649442970752717,-3.688817322254181,7.057097e-07,0.0,-0.7740927934646606,-0.00020468481816351413
6000,0.820080578327179,1.504779402911663,-3.68881579041481,6.6915527e-07,0.0,-1.3548128604888916,-0.00019503743387758732
