timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.18473920226097107,0.3482744589447975,-3.688876175880432,1.1827797e-07,0.0,-3.26237154006958,-0.00018458566628396512
600,0.2501320540904999,0.4659116204828024,-3.6888745963573455,8.381903e-08,0.0,-1.4174649715423584,-7.791160605847835e-05
800,0.44580960273742676,1.0596775263547897,-3.6888740718364716,4.4936314e-08,0.0,-1.0860400199890137,-6.288278382271528e-05
1000,0.6926901340484619,1.2054911270737647,-3.688873904943466,8.614734e-08,0.0,-1.6902189254760742,-8.257780573330819e-05
1200,0.9121519923210144,1.746999353170395,-3.6888738214969634,6.123446e-08,0.0,-2.336604118347168,-8.002384652172623e-05
1400,0.8841177225112915,1.7109543561935425,-3.6888736367225645,3.8882717e-08,0.0,-3.2357239723205566,-5.39182685315609e-05
1600,0.9396680593490601,1.366254797577858,-3.6888736844062806,1.1292286e-07,0.0,-1.4389500617980957,-0.00010642182896845043
1800,0.8903025984764099,1.9006363570690155,-3.6888736367225645,7.916242e-08,0.0,-2.410691022872925,-8.501050760969519e-05
2000,0.5863198637962341,1.7074264854192733,-3.6888735353946687,9.429641e-08,0.0,-0.7777122259140015,-9.139570756815374e-05
2200,0.7557302713394165,1.6362539023160934,-3.68887345790863,6.100163e-08,0.0,-1.436455249786377,-7.833619602024556e-05
2400,0.5624670386314392,1.172373227775097,-3.6888732314109802,8.96398e-08,0.0,-0.7613276243209839,-9.651932923588901e-05
2600,0.4554513394832611,1.0474216535687446,-3.688873368501663,9.336509e-08,0.0,-0.7119773626327515,-0.00010297901462763548
2800,0.7347093224525452,1.4265675887465477,-3.6888730347156526,1.0384247e-07,0.0,-0.9052140712738037,-0.00010429983958601952
3000,1.0393263101577759,1.6304435938596726,-3.6888730466365813,1.0221265e-07,0.0,-3.8706626892089844,-9.07394802197814e-05
3200,0.7320253849029541,1.4474895626306534,-3.68887312412262,1.2898818e-07,0.0,-0.9629944562911987,-0.0001138909487053752
3400,1.2396560907363892,1.5523688286542892,-3.6888728082180022,1.1618249e-07,0.0,-1.0908417701721191,-9.97931754682213e-05
3600,0.8583566546440125,1.776058131456375,-3.6888725757598877,7.473864e-08,0.0,-2.0709030628204346,-8.345465175807476e-05
3800,0.7653341293334961,1.7810580611228943,-3.6888728022575377,1.17812306e-07,0.0,-2.401547431945801,-9.279830555897206e-05
4000,0.679714560508728,1.6548094108700753,-3.6888728976249694,1.0756776e-07,0.0,-1.1930019855499268,-9.816024685278535e-05
4200,1.0378137826919556,2.063083681464195,-3.68887283205986,8.032657e-08,0.0,-0.585007905960083,-9.302978869527579e-05
4400,1.085066556930542,1.924089539051056,-3.688872444629669,4.1909516e-08,0.0,-3.6101913452148438,-6.75734132528305e-05
4600,0.5684808492660522,1.6618685513734817,-3.6888726234436033,5.8673322e-08,0.0,-2.18146014213562,-7.655341178178788e-05
4800,0.6054784059524536,1.4777508944272995,-3.6888724267482758,8.032657e-08,0.0,-1.0362598896026611,-8.239372400566935e-05
5000,0.7864697575569153,1.6705861955881118,-3.688871854543686,9.2200935e-08,0.0,-1.4807939529418945,-8.781708311289549e-05
5200,0.8640871047973633,1.7614600718021394,-3.6888716399669645,9.406358e-08,0.0,-1.3854200839996338,-0.00010003892239183188
5400,0.21170292794704437,0.5139880076050758,-3.6888747572898866,1.7485581e-07,0.0,-0.9860379695892334,-0.00017418089555576444
5600,0.687373697757721,1.5586862593889237,-3.6888716578483582,1.0128133e-07,0.0,-0.798861026763916,-9.242999367415905e-05
5800,0.547186553478241,1.2631003186106682,-3.6888714909553526,8.405186e-08,0.0,-0.5332021713256836,-8.229002123698592e-05
