timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.012689524330198765,0.03318872582167387,-3.688876336812973,1.4692544e-07,0.0,-4.908604621887207,-0.00014465516770826304
600,0.014954592101275921,0.03121429760940373,-3.688875252008438,1.9818545e-07,0.0,-9.168608665466309,-0.00014266791972032954
800,0.01268092542886734,0.025251224264502527,-3.688873511552811,2.6047232e-07,0.0,-5.714922904968262,-0.00014192619883957036
1000,0.0075739361345767975,0.022166703827679157,-3.6888732314109802,3.3348798e-07,0.0,-5.516757011413574,-0.00015835814207287857
1200,0.009791480377316475,0.02182154986076057,-3.6888729631900787,2.8073788e-07,0.0,-5.2804460525512695,-0.000162731200073285
1400,0.009960726834833622,0.019103249860927464,-3.6888726949691772,3.1590463e-07,0.0,-3.276710033416748,-0.00018537193528560535
1600,0.010083194822072983,0.022744175279513,-3.6888723492622377,1.8626451e-07,0.0,-8.186165809631348,-0.00011329969708424592
1800,0.00775314774364233,0.015550478384830058,-3.6888710618019105,3.1143426e-07,0.0,-2.4307825565338135,-0.00017234360075268906
2000,0.010103736072778702,0.018765310337767006,-3.6888710081577303,2.5361777e-07,0.0,-9.765305519104004,-0.00015590980608735095
2200,0.00748306792229414,0.01762428376823664,-3.688870483636856,4.273653e-07,0.0,-5.303421497344971,-0.00019547232808496683
2400,0.007282642647624016,0.01625404928345233,-3.688869458436966,2.7656557e-07,0.0,-5.631977558135986,-0.0001501014530242317
2600,0.007044003810733557,0.014338185498490929,-3.688868933916092,1.9699335e-07,0.0,-5.649477481842041,-0.00012286376953150047
2800,0.006624577101320028,0.014778111781924962,-3.6888688921928408,2.4855137e-07,0.0,-7.233401298522949,-0.00015224754000435768
3000,0.006683377083390951,0.013298177160322666,-3.688868635892868,3.519654e-07,0.0,-9.46430778503418,-0.0001852394335728036
3200,0.006439632270485163,0.013776899199001491,-3.688868689537048,2.348423e-07,0.0,-8.24566650390625,-0.0001459111117205758
3400,0.005843133665621281,0.01365387300029397,-3.688868749141693,2.5391577e-07,0.0,-7.398358345031738,-0.00014853213606351722
3600,0.00518447533249855,0.010673499619588255,-3.6888684153556826,2.333522e-07,0.0,-5.410052299499512,-0.000123260076941345
3800,0.005158979911357164,0.014520015753805637,-3.6888685166835784,3.0577183e-07,0.0,-11.264238357543945,-0.0001758610385982129
4000,0.004805675242096186,0.01122766884509474,-3.6888677537441255,1.7791986e-07,0.0,-8.265064239501953,-9.831014242935864e-05
4200,0.003832352813333273,0.00887241936288774,-3.6888680934906004,1.9967555e-07,0.0,-6.172436237335205,-0.00011986842776199325
