timestep,loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,policy_gradient_loss
200,,,,,,,
400,0.05293513834476471,0.11650781650096179,-3.6888769805431365,1.3411045e-07,0.0,-4.18749475479126,-0.00014435151221903197
600,0.05022140219807625,0.10282167084515095,-3.6888758659362795,2.244115e-07,0.0,-3.57564115524292,-0.00016466641462273835
800,0.04850534722208977,0.10480167455971241,-3.688874876499176,4.068017e-07,0.0,-3.3377952575683594,-0.00019806230785071043
1000,0.048883575946092606,0.10223427228629589,-3.6888748526573183,3.6776066e-07,0.0,-4.58227014541626,-0.0001820219635135345
1200,0.04250705614686012,0.09974740799516439,-3.688874638080597,4.10378e-07,0.0,-3.665212631225586,-0.000197934926032306
1400,0.04253998398780823,0.09509132169187069,-3.6888738870620728,3.838539e-07,0.0,-5.185405254364014,-0.00020102913818345058
1600,0.04598116874694824,0.09004614166915417,-3.6888734638690948,2.8282403e-07,0.0,-8.14093017578125,-0.00015627667216455698
1800,0.04217386245727539,0.08981491923332215,-3.688873368501663,3.3438207e-07,0.0,-4.682136535644531,-0.00016223089365416943
2000,0.0431697778403759,0.08648158218711614,-3.6888737440109254,3.4630298e-07,0.0,-3.5028738975524902,-0.0001785464137012749
2200,0.034971658140420914,0.08090384062379599,-3.6888737797737123,1.7911196e-07,0.0,-6.394045829772949,-0.00011258415852781756
2400,0.03778306394815445,0.08269896488636733,-3.688873416185379,3.0905008e-07,0.0,-4.183586597442627,-0.00018076574782250888
2600,0.04302555322647095,0.07396486094221473,-3.6888730466365813,3.3825634e-07,0.0,-3.5603275299072266,-0.00018077229775688154
2800,0.038577646017074585,0.08126610163599253,-3.6888725817203523,2.8818846e-07,0.0,-6.4596734046936035,-0.00015625655576014807
3000,0.0374615378677845,0.06716537084430456,-3.688871455192566,3.7401915e-07,0.0,-2.0570390224456787,-0.0001976770154247909
3200,0.036627769470214844,0.06451777713373304,-3.6888714373111724,1.7762184e-07,0.0,-1.987793207168579,-0.00012049688304045514
3400,0.032615166157484055,0.07166834063827991,-3.688871133327484,2.3931264e-07,0.0,-4.027066230773926,-0.00014881590000959122
3600,0.03691104054450989,0.0648544573225081,-3.688871240615845,3.284216e-07,0.0,-3.236754894256592,-0.00017506317836046836
3800,0.03781528398394585,0.06960025085136294,-3.6888708651065825,2.9444695e-07,0.0,-7.398370742797852,-0.00014204876110297527
4000,0.02608717791736126,0.05760140577331185,-3.6888703525066378,3.8653613e-07,0.0,-5.911638259887695,-0.0002063915075241285
4200,0.025623273104429245,0.05833438830450177,-3.6888698637485504,4.3690204e-07,0.0,-3.705777168273926,-0.00020432484199854882
4400,0.02947043441236019,0.059989737998694184,-3.688868874311447,2.914667e-07,0.0,-7.880847930908203,-0.00016364120012719586
4600,0.027654502540826797,0.05295876171439886,-3.688868963718414,2.2351742e-07,0.0,-4.828330039978027,-0.0001325247744089264
4800,0.02452911250293255,0.05033546080812812,-3.688868772983551,1.5884638e-07,0.0,-3.3074417114257812,-8.968693824864537e-05
5000,0.028750840574502945,0.05564782740548253,-3.6888685703277586,2.1904707e-07,0.0,-6.2270402908325195,-0.0001343555593726009
5200,0.02711772546172142,0.045836090482771395,-3.6888672947883605,3.0636787e-07,0.0,-3.7579851150512695,-0.00016184995960978333
5400,0.020148402079939842,0.04680566331371665,-3.688866877555847,3.6329033e-07,0.0,-5.947282314300537,-0.00018651060689057753
5600,0.017498880624771118,0.042186010535806416,-3.68886661529541,3.0517577e-07,0.0,-5.65136194229126,-0.00017920908384234658
5800,0.01928797736763954,0.04321815939620137,-3.6888667047023773,2.1070241e-07,0.0,-4.605137825012207,-0.00011321899268819102
6000,0.01677027717232704,0.035341646941378715,-3.688866150379181,4.0322539e-07,0.0,-2.3068552017211914,-0.0002000417567412649
6200,0.018356915563344955,0.03602309231646359,-3.688865911960602,4.6133997e-07,0.0,-9.686029434204102,-0.0002011073936614871
6400,0.019858697429299355,0.03543178122490644,-3.6888648867607117,3.451109e-07,0.0,-7.2696027755737305,-0.00016801863789286386
6600,0.016564801335334778,0.03211386688053608,-3.688864493370056,2.8580428e-07,0.0,-2.7542176246643066,-0.00016464291608100367
6800,0.01323891431093216,0.03341506575234234,-3.68886479139328,3.0815602e-07,0.0,-3.0731425285339355,-0.00015799290032716406
