Scenario,Algo,Reward,vs_fixed_Queue,vs_webster_Queue,vs_fixed_Wait/veh,vs_webster_Wait/veh,vs_fixed_TravelTime,vs_webster_TravelTime
C3,dqn,queue,63.24,84.31,-478.42,-500.16,21.86,55.8
C3,dqn,pressure,62.73,84.09,-459.86,-480.91,22.86,56.37
C3,dqn,wait-clip,-40.83,39.89,-2764.07,-2871.75,25.89,58.08
C3,ddqn,queue,63.23,84.31,-467.23,-488.55,24.42,57.25
C3,ddqn,pressure,-40.95,39.84,-3035.15,-3153.01,24.41,57.24
C3,ddqn,wait-clip,77.51,90.4,-181.49,-192.08,25.89,58.08
C3,ppo,queue,71.27,87.74,-315.88,-331.52,25.69,57.97
C3,ppo,pressure,-141.69,-3.16,-4695.57,-4875.86,28.75,59.7
C3,ppo,wait-clip,51.64,79.36,-908.95,-946.88,26.37,58.35
C8,dqn,queue,84.95,94.38,93.7,93.52,22.58,60.15
C8,dqn,pressure,87.12,95.19,97.21,97.13,22.97,60.36
C8,dqn,wait-clip,82.2,93.35,-499.0,-516.16,22.26,59.99
C8,ddqn,queue,85.02,94.4,94.5,94.34,21.75,59.73
C8,ddqn,pressure,87.25,95.24,97.19,97.11,22.49,60.11
C8,ddqn,wait-clip,76.2,91.11,-1108.73,-1143.35,21.92,59.82
C8,ppo,queue,88.34,95.64,97.67,97.61,22.59,60.16
C8,ppo,pressure,88.52,95.71,97.7,97.64,23.18,60.47
C8,ppo,wait-clip,88.32,95.64,97.49,97.42,22.85,60.3
