algorithm,reward,c3_queue_mean,c3_queue_std,c8_queue_mean,c8_queue_std,c3_wait_mean,c3_wait_std,c8_wait_mean,c8_wait_std,c3_thru_mean,c3_thru_std,c8_thru_mean,c8_thru_std
Fixed-time,—,14.2458,0.0,17.1264,0.0,6.41,0.0,4.44,0.0,2797.0,0.0,2001.0,0.0
Webster,—,33.3764,0.0,45.8489,0.0,6.18,0.0,4.32,0.0,2743.0,0.0,1934.0,0.0
DQN,Queue,5.2371,5.5872,2.5782,1.0763,37.1,76.09,0.28,0.46,2765.8,112.8,2013.8,2.6
DQN,Pressure,5.309,5.3225,2.206,0.2432,35.91,74.17,0.12,0.02,2768.8,108.1,2015.2,1.2
DQN,Wait-clip,20.0626,18.7454,3.0481,3.0961,183.69,161.05,26.59,83.76,2425.3,461.6,2013.6,5.9
DDQN,Queue,5.2381,5.378,2.5657,0.6988,36.38,73.34,0.24,0.22,2759.2,107.0,2014.2,1.9
DDQN,Pressure,20.0789,15.0464,2.1832,0.2171,201.08,164.51,0.12,0.02,2464.1,407.3,2016.0,1.1
DDQN,Wait-clip,3.2042,3.5848,4.0765,4.0687,18.05,54.75,53.66,112.79,2795.3,78.5,2010.9,6.9
PPO,Queue,4.0931,6.5828,1.9972,0.0711,26.67,82.08,0.1,0.01,2787.4,107.0,2014.5,1.6
PPO,Pressure,34.431,26.5747,1.9664,0.0395,307.57,237.34,0.1,0.01,2033.0,701.7,2013.3,1.9
PPO,Wait-clip,6.8889,8.2797,1.9999,0.0513,64.71,104.5,0.11,0.01,2726.9,156.8,2014.4,1.2
