algo,reward,seed,flow,cycle_num,total_queue
webster,-,-,low,1,0.63
webster,-,-,low,2,0.5
webster,-,-,low,3,0.57
webster,-,-,low,4,0.59
webster,-,-,low,5,0.84
webster,-,-,low,6,0.69
webster,-,-,low,7,0.79
webster,-,-,low,8,1.04
webster,-,-,low,9,0.56
webster,-,-,low,10,0.57
webster,-,-,low,11,0.98
webster,-,-,low,12,1.14
webster,-,-,low,13,0.62
webster,-,-,low,14,0.92
webster,-,-,low,15,0.61
webster,-,-,low,16,0.54
webster,-,-,low,17,0.9
webster,-,-,low,18,0.72
webster,-,-,low,19,0.84
webster,-,-,low,20,0.48
webster,-,-,low,21,0.64
webster,-,-,low,22,0.74
webster,-,-,low,23,0.69
webster,-,-,low,24,0.67
webster,-,-,low,25,1.06
webster,-,-,low,26,0.79
webster,-,-,low,27,0.69
webster,-,-,low,28,0.72
webster,-,-,low,29,0.93
webster,-,-,low,30,0.98
webster,-,-,low,31,0.6
webster,-,-,low,32,1.01
webster,-,-,low,33,0.49
webster,-,-,low,34,0.73
webster,-,-,low,35,1.11
webster,-,-,low,36,1.2
webster,-,-,low,37,0.78
webster,-,-,low,38,0.57
webster,-,-,low,39,0.69
webster,-,-,low,40,0.61
webster,-,-,low,41,0.88
webster,-,-,low,42,0.96
webster,-,-,low,43,1.09
webster,-,-,low,44,0.67
webster,-,-,low,45,0.62
webster,-,-,low,46,0.59
webster,-,-,low,47,0.74
webster,-,-,low,48,0.58
webster,-,-,low,49,0.74
webster,-,-,low,50,0.74
webster,-,-,low,51,0.91
webster,-,-,low,52,0.71
webster,-,-,low,53,0.58
webster,-,-,low,54,0.79
webster,-,-,low,55,0.73
webster,-,-,low,56,1.06
webster,-,-,medium,1,1.44
webster,-,-,medium,2,1.47
webster,-,-,medium,3,1.4
webster,-,-,medium,4,1.12
webster,-,-,medium,5,1.77
webster,-,-,medium,6,1.22
webster,-,-,medium,7,1.18
webster,-,-,medium,8,1.52
webster,-,-,medium,9,1.74
webster,-,-,medium,10,1.23
webster,-,-,medium,11,1.16
webster,-,-,medium,12,1.2
webster,-,-,medium,13,1.29
webster,-,-,medium,14,1.1
webster,-,-,medium,15,1.68
webster,-,-,medium,16,1.17
webster,-,-,medium,17,1.49
webster,-,-,medium,18,1.37
webster,-,-,medium,19,1.59
webster,-,-,medium,20,1.47
webster,-,-,medium,21,1.46
webster,-,-,medium,22,1.21
webster,-,-,medium,23,1.11
webster,-,-,medium,24,1.67
webster,-,-,medium,25,1.28
webster,-,-,medium,26,1.68
webster,-,-,medium,27,1.32
webster,-,-,medium,28,1.8
webster,-,-,medium,29,1.5
webster,-,-,medium,30,1.51
webster,-,-,medium,31,1.13
webster,-,-,medium,32,1.76
webster,-,-,medium,33,1.82
webster,-,-,medium,34,1.37
webster,-,-,medium,35,1.12
webster,-,-,medium,36,1.53
webster,-,-,medium,37,1.78
webster,-,-,medium,38,1.28
webster,-,-,medium,39,1.83
webster,-,-,medium,40,1.9
webster,-,-,medium,41,1.8
webster,-,-,medium,42,1.16
webster,-,-,medium,43,1.86
webster,-,-,medium,44,1.68
webster,-,-,medium,45,1.48
webster,-,-,medium,46,1.04
webster,-,-,medium,47,1.51
webster,-,-,medium,48,1.43
webster,-,-,medium,49,1.76
webster,-,-,medium,50,1.37
webster,-,-,medium,51,1.61
webster,-,-,medium,52,2.09
webster,-,-,medium,53,1.59
webster,-,-,medium,54,2.09
webster,-,-,medium,55,2.11
webster,-,-,medium,56,1.52
webster,-,-,high,1,2.69
webster,-,-,high,2,4.51
webster,-,-,high,3,6.08
webster,-,-,high,4,5.77
webster,-,-,high,5,5.51
webster,-,-,high,6,6.87
webster,-,-,high,7,6.7
webster,-,-,high,8,9.07
webster,-,-,high,9,10.0
webster,-,-,high,10,13.44
webster,-,-,high,11,12.3
webster,-,-,high,12,13.37
webster,-,-,high,13,13.06
webster,-,-,high,14,12.03
webster,-,-,high,15,10.96
webster,-,-,high,16,9.56
webster,-,-,high,17,11.17
webster,-,-,high,18,7.82
webster,-,-,high,19,9.9
webster,-,-,high,20,11.29
webster,-,-,high,21,10.1
webster,-,-,high,22,10.41
webster,-,-,high,23,8.43
webster,-,-,high,24,9.02
webster,-,-,high,25,11.2
webster,-,-,high,26,10.84
webster,-,-,high,27,11.38
webster,-,-,high,28,10.16
webster,-,-,high,29,10.72
webster,-,-,high,30,9.97
webster,-,-,high,31,10.03
webster,-,-,high,32,9.4
webster,-,-,high,33,12.16
webster,-,-,high,34,11.94
webster,-,-,high,35,9.76
webster,-,-,high,36,7.64
webster,-,-,high,37,6.1
webster,-,-,high,38,5.61
webster,-,-,high,39,5.29
webster,-,-,high,40,7.77
webster,-,-,high,41,11.53
webster,-,-,high,42,8.78
webster,-,-,high,43,8.27
webster,-,-,high,44,6.82
webster,-,-,high,45,7.53
webster,-,-,high,46,6.29
webster,-,-,high,47,5.11
webster,-,-,high,48,4.83
webster,-,-,high,49,5.18
webster,-,-,high,50,7.38
webster,-,-,high,51,6.01
webster,-,-,high,52,5.77
webster,-,-,high,53,6.69
webster,-,-,high,54,8.42
webster,-,-,high,55,8.07
webster,-,-,high,56,7.44
fixed,-,-,low,1,2.22
fixed,-,-,low,2,2.76
fixed,-,-,low,3,3.2
fixed,-,-,low,4,3.69
fixed,-,-,low,5,4.0
fixed,-,-,low,6,4.49
fixed,-,-,low,7,3.89
fixed,-,-,low,8,6.51
fixed,-,-,low,9,4.98
fixed,-,-,low,10,4.31
fixed,-,-,low,11,4.82
fixed,-,-,low,12,3.76
fixed,-,-,low,13,3.42
fixed,-,-,low,14,4.67
fixed,-,-,low,15,4.71
fixed,-,-,low,16,3.96
fixed,-,-,low,17,3.67
fixed,-,-,low,18,3.84
fixed,-,-,low,19,5.02
fixed,-,-,low,20,6.27
fixed,-,-,low,21,4.22
fixed,-,-,low,22,3.87
fixed,-,-,low,23,3.07
fixed,-,-,low,24,4.36
fixed,-,-,low,25,3.07
fixed,-,-,low,26,3.47
fixed,-,-,low,27,2.64
fixed,-,-,low,28,5.31
fixed,-,-,low,29,4.84
fixed,-,-,low,30,6.0
fixed,-,-,low,31,3.44
fixed,-,-,low,32,4.16
fixed,-,-,low,33,5.58
fixed,-,-,low,34,3.67
fixed,-,-,low,35,4.44
fixed,-,-,low,36,4.53
fixed,-,-,low,37,3.98
fixed,-,-,low,38,3.98
fixed,-,-,low,39,4.04
fixed,-,-,low,40,6.22
fixed,-,-,low,41,4.11
fixed,-,-,low,42,3.84
fixed,-,-,low,43,3.76
fixed,-,-,low,44,4.2
fixed,-,-,low,45,5.0
dqn,wait-clip,s123,high,1,7.87
dqn,wait-clip,s123,high,2,15.73
dqn,wait-clip,s123,high,3,13.98
dqn,wait-clip,s123,high,4,16.87
dqn,wait-clip,s123,high,5,15.04
dqn,wait-clip,s123,high,6,14.24
dqn,wait-clip,s123,high,7,14.07
dqn,wait-clip,s123,high,8,15.31
dqn,wait-clip,s123,high,9,13.69
dqn,wait-clip,s123,high,10,14.0
dqn,wait-clip,s123,high,11,14.18
dqn,wait-clip,s123,high,12,12.67
dqn,wait-clip,s123,high,13,16.04
dqn,wait-clip,s123,high,14,14.67
dqn,wait-clip,s123,high,15,14.16
dqn,wait-clip,s123,high,16,14.16
dqn,wait-clip,s123,high,17,13.44
dqn,wait-clip,s123,high,18,12.51
dqn,wait-clip,s123,high,19,17.31
dqn,wait-clip,s123,high,20,15.4
dqn,wait-clip,s123,high,21,16.11
dqn,wait-clip,s123,high,22,17.31
dqn,wait-clip,s123,high,23,12.93
dqn,wait-clip,s123,high,24,13.42
dqn,wait-clip,s123,high,25,13.33
dqn,wait-clip,s123,high,26,13.96
dqn,wait-clip,s123,high,27,14.0
dqn,wait-clip,s123,high,28,2.6
dqn,wait-clip,s123,low,1,1.89
dqn,wait-clip,s123,low,2,2.2
dqn,wait-clip,s123,low,3,4.4
dqn,wait-clip,s123,low,4,3.2
dqn,wait-clip,s123,low,5,3.71
dqn,wait-clip,s123,low,6,4.91
dqn,wait-clip,s123,low,7,3.56
dqn,wait-clip,s123,low,8,4.76
dqn,wait-clip,s123,low,9,2.73
dqn,wait-clip,s123,low,10,2.73
dqn,wait-clip,s123,low,11,3.78
dqn,wait-clip,s123,low,12,4.09
dqn,wait-clip,s123,low,13,2.51
dqn,wait-clip,s123,low,14,4.96
dqn,wait-clip,s123,low,15,4.02
dqn,wait-clip,s123,low,16,1.76
dqn,wait-clip,s123,low,17,3.36
dqn,wait-clip,s123,low,18,3.27
dqn,wait-clip,s123,low,19,3.09
dqn,wait-clip,s123,low,20,3.44
dqn,wait-clip,s123,low,21,5.82
dqn,wait-clip,s123,low,22,2.62
dqn,wait-clip,s123,low,23,3.8
dqn,wait-clip,s123,low,24,3.67
dqn,wait-clip,s123,low,25,2.78
dqn,wait-clip,s123,low,26,3.98
dqn,wait-clip,s123,low,27,2.89
dqn,wait-clip,s123,low,28,3.96
dqn,wait-clip,s123,low,29,3.53
dqn,wait-clip,s123,low,30,4.07
dqn,wait-clip,s123,low,31,3.2
dqn,wait-clip,s123,low,32,2.71
dqn,wait-clip,s123,low,33,2.93
dqn,wait-clip,s123,low,34,0.31
dqn,wait-clip,s123,low,35,0.0
dqn,wait-clip,s123,medium,1,3.38
dqn,wait-clip,s123,medium,2,4.93
dqn,wait-clip,s123,medium,3,6.33
dqn,wait-clip,s123,medium,4,5.58
dqn,wait-clip,s123,medium,5,5.73
dqn,wait-clip,s123,medium,6,5.38
dqn,wait-clip,s123,medium,7,5.16
dqn,wait-clip,s123,medium,8,5.47
dqn,wait-clip,s123,medium,9,5.42
dqn,wait-clip,s123,medium,10,6.31
dqn,wait-clip,s123,medium,11,6.53
dqn,wait-clip,s123,medium,12,6.04
dqn,wait-clip,s123,medium,13,5.4
dqn,wait-clip,s123,medium,14,4.2
dqn,wait-clip,s123,medium,15,4.8
dqn,wait-clip,s123,medium,16,7.33
dqn,wait-clip,s123,medium,17,4.62
dqn,wait-clip,s123,medium,18,5.96
dqn,wait-clip,s123,medium,19,7.69
dqn,wait-clip,s123,medium,20,7.69
dqn,wait-clip,s123,medium,21,6.64
dqn,wait-clip,s123,medium,22,6.47
dqn,wait-clip,s123,medium,23,7.69
dqn,wait-clip,s123,medium,24,7.29
dqn,wait-clip,s123,medium,25,5.73
dqn,wait-clip,s123,medium,26,6.31
dqn,wait-clip,s123,medium,27,7.0
dqn,wait-clip,s123,medium,28,6.2
dqn,wait-clip,s123,medium,29,5.2
dqn,wait-clip,s123,medium,30,6.0
dqn,wait-clip,s123,medium,31,0.53
dqn,wait-clip,s123,medium,32,0.0
fixed,-,-,medium,1,3.09
fixed,-,-,medium,2,6.38
fixed,-,-,medium,3,6.11
fixed,-,-,medium,4,8.47
fixed,-,-,medium,5,6.82
fixed,-,-,medium,6,6.6
fixed,-,-,medium,7,7.56
fixed,-,-,medium,8,5.96
fixed,-,-,medium,9,6.93
fixed,-,-,medium,10,8.0
fixed,-,-,medium,11,7.4
fixed,-,-,medium,12,6.51
fixed,-,-,medium,13,8.22
fixed,-,-,medium,14,7.42
fixed,-,-,medium,15,6.67
fixed,-,-,medium,16,9.56
fixed,-,-,medium,17,7.36
fixed,-,-,medium,18,9.04
fixed,-,-,medium,19,4.67
fixed,-,-,medium,20,6.98
fixed,-,-,medium,21,5.69
fixed,-,-,medium,22,5.24
fixed,-,-,medium,23,7.47
fixed,-,-,medium,24,5.29
fixed,-,-,medium,25,7.29
fixed,-,-,medium,26,9.96
fixed,-,-,medium,27,6.91
fixed,-,-,medium,28,6.87
fixed,-,-,medium,29,7.8
fixed,-,-,medium,30,8.02
fixed,-,-,medium,31,8.36
fixed,-,-,medium,32,8.4
fixed,-,-,medium,33,8.73
fixed,-,-,medium,34,7.04
fixed,-,-,medium,35,6.42
fixed,-,-,medium,36,8.16
fixed,-,-,medium,37,6.22
fixed,-,-,medium,38,7.73
fixed,-,-,medium,39,4.84
fixed,-,-,medium,40,6.18
fixed,-,-,medium,41,6.73
fixed,-,-,medium,42,8.64
fixed,-,-,medium,43,7.13
fixed,-,-,medium,44,6.33
fixed,-,-,medium,45,6.7
dqn,wait-clip,s42,high,1,7.87
dqn,wait-clip,s42,high,2,15.73
dqn,wait-clip,s42,high,3,15.44
dqn,wait-clip,s42,high,4,15.89
dqn,wait-clip,s42,high,5,16.87
dqn,wait-clip,s42,high,6,14.87
dqn,wait-clip,s42,high,7,15.16
dqn,wait-clip,s42,high,8,14.71
dqn,wait-clip,s42,high,9,15.24
dqn,wait-clip,s42,high,10,15.69
dqn,wait-clip,s42,high,11,14.22
dqn,wait-clip,s42,high,12,13.78
dqn,wait-clip,s42,high,13,15.89
dqn,wait-clip,s42,high,14,14.47
dqn,wait-clip,s42,high,15,13.56
dqn,wait-clip,s42,high,16,12.98
dqn,wait-clip,s42,high,17,14.0
dqn,wait-clip,s42,high,18,14.44
dqn,wait-clip,s42,high,19,17.33
dqn,wait-clip,s42,high,20,14.76
dqn,wait-clip,s42,high,21,17.11
dqn,wait-clip,s42,high,22,15.33
dqn,wait-clip,s42,high,23,13.49
dqn,wait-clip,s42,high,24,14.16
dqn,wait-clip,s42,high,25,15.4
dqn,wait-clip,s42,high,26,12.64
dqn,wait-clip,s42,high,27,1.42
dqn,wait-clip,s42,high,28,0.0
fixed,-,-,high,1,5.89
fixed,-,-,high,2,17.0
fixed,-,-,high,3,16.47
fixed,-,-,high,4,15.49
fixed,-,-,high,5,15.4
fixed,-,-,high,6,17.53
fixed,-,-,high,7,17.64
fixed,-,-,high,8,17.51
fixed,-,-,high,9,15.87
fixed,-,-,high,10,17.38
fixed,-,-,high,11,14.64
fixed,-,-,high,12,17.93
fixed,-,-,high,13,18.78
fixed,-,-,high,14,15.44
fixed,-,-,high,15,13.38
fixed,-,-,high,16,17.96
fixed,-,-,high,17,16.11
fixed,-,-,high,18,16.87
fixed,-,-,high,19,14.13
fixed,-,-,high,20,12.89
fixed,-,-,high,21,16.04
fixed,-,-,high,22,16.36
fixed,-,-,high,23,15.04
fixed,-,-,high,24,17.49
fixed,-,-,high,25,16.04
fixed,-,-,high,26,14.62
fixed,-,-,high,27,14.8
fixed,-,-,high,28,16.62
fixed,-,-,high,29,15.91
fixed,-,-,high,30,15.11
fixed,-,-,high,31,17.78
fixed,-,-,high,32,13.82
fixed,-,-,high,33,17.73
fixed,-,-,high,34,17.91
fixed,-,-,high,35,17.73
fixed,-,-,high,36,16.67
fixed,-,-,high,37,16.16
fixed,-,-,high,38,16.47
fixed,-,-,high,39,15.36
fixed,-,-,high,40,17.84
fixed,-,-,high,41,14.51
fixed,-,-,high,42,16.16
fixed,-,-,high,43,13.89
fixed,-,-,high,44,16.73
fixed,-,-,high,45,14.6
dqn,wait-clip,s42,low,1,1.89
dqn,wait-clip,s42,low,2,2.11
dqn,wait-clip,s42,low,3,3.8
dqn,wait-clip,s42,low,4,3.36
dqn,wait-clip,s42,low,5,4.16
dqn,wait-clip,s42,low,6,5.76
dqn,wait-clip,s42,low,7,2.91
dqn,wait-clip,s42,low,8,4.87
dqn,wait-clip,s42,low,9,3.6
dqn,wait-clip,s42,low,10,2.58
dqn,wait-clip,s42,low,11,4.18
dqn,wait-clip,s42,low,12,3.51
dqn,wait-clip,s42,low,13,3.16
dqn,wait-clip,s42,low,14,5.38
dqn,wait-clip,s42,low,15,2.89
dqn,wait-clip,s42,low,16,1.91
