algo,reward,seed,flow,EW Through + Left,EW Right,NS Through + Left,NS Right
webster,-,-,low,0.271,0.119,0.2434,0.1256
webster,-,-,medium,0.4906,0.2424,0.4812,0.281
webster,-,-,high,1.7898,2.5862,1.67,2.6088
fixed,-,-,low,1.222,0.911,1.22,0.859
dqn,wait-clip,s123,high,3.814918228958915,3.178300757877942,3.518149182289589,3.4399680893498203
dqn,wait-clip,s123,low,1.067347590169167,0.6409192467283754,0.9077561442706671,0.6766677306096394
dqn,wait-clip,s123,medium,1.8418079096045197,1.0353107344632768,1.536723163841808,1.2754237288135593
fixed,-,-,medium,2.074,1.408,2.054,1.533
dqn,wait-clip,s42,high,3.711653984781738,3.208650380456548,3.503404084901882,3.3608329995995194
fixed,-,-,high,4.332,3.813,4.18,3.596
dqn,wait-clip,s42,low,1.0177820885871323,0.6582605884254769,0.9104429356611704,0.6880051729712253
dqn,wait-clip,s777,medium,1.8433048433048433,1.0769230769230769,1.6025641025641026,1.3561253561253561
dqn,wait-clip,s777,high,4.0220994475138125,3.2865035516969217,3.4064719810576163,3.355958958168903
dqn,wait-clip,s42,medium,1.8463726884779517,1.031294452347084,1.5519203413940257,1.3157894736842106
dqn,wait-clip,s777,low,1.0360907058447781,0.6528265729798787,0.9287767486426062,0.6809326093899712
ppo,average-speed,s123,low,1.221,0.728,0.387,0.116
ppo,average-speed,s123,high,4.692,5.536,1.559,1.064
ppo,average-speed,s42,low,0.524,0.332,0.522,0.342
ppo,average-speed,s42,medium,0.922,0.553,0.93,0.632
ppo,average-speed,s123,medium,1.962,1.327,0.628,0.389
ppo,average-speed,s42,high,2.224,2.346,2.344,2.244
ppo,average-speed,s777,high,2.612,2.11,2.506,1.969
ppo,average-speed,s777,medium,0.959,0.522,0.949,0.589
ppo,average-speed,s777,low,0.529,0.251,0.517,0.318
ppo,diff-waiting-time,s123,low,0.311,0.115,0.838,0.5
ppo,diff-waiting-time,s123,medium,0.507,0.309,1.508,1.082
ppo,diff-waiting-time,s42,medium,0.538,0.272,1.578,1.092
