algo,reward,obs_mode,n_runs,mean_queue,std_queue,median_queue,mean_wait,std_wait,mean_wait_per_veh,mean_speed,std_speed,mean_throughput,std_throughput,mean_travel_time,std_travel_time
ddqn,pressure,resco,8,149.628,66.707,179.57,276623.81,306919.51,1313.86,1.2874,1.1358,4262.4,3430.6,185.82,143.97
ddqn,queue,resco,8,149.628,66.707,179.57,276623.81,306919.51,1313.86,1.2874,1.1358,4262.4,3430.6,185.82,143.97
ddqn,wait-clip,resco,8,103.55,43.454,86.438,31271.47,58562.95,139.53,2.036,0.5499,7668.9,1521.6,163.17,58.22
dqn,pressure,resco,8,106.977,38.413,91.686,117402.92,124946.5,884.8,1.7326,0.7378,5892.8,2373.7,145.55,78.06
dqn,queue,resco,8,106.977,38.413,91.686,117402.92,124946.5,884.8,1.7326,0.7378,5892.8,2373.7,145.55,78.06
dqn,wait-clip,resco,8,101.259,43.707,87.612,11797.6,28231.86,57.96,1.9184,0.6428,7569.2,2551.3,253.83,306.24
fixed,-,-,1,150.765,0.0,150.765,5026.94,0.0,26.19,1.0847,0.0,4930.0,0.0,271.02,0.0
ppo,pressure,raw,8,180.124,24.778,191.512,564018.32,140537.96,2846.07,0.4023,0.3213,1343.1,1266.8,100.34,24.08
ppo,queue,raw,8,186.716,4.573,188.974,615408.1,14191.83,3112.51,0.281,0.0105,874.9,38.5,83.97,3.55
ppo,wait-clip,raw,8,185.97,4.353,185.673,615706.44,14259.45,3135.3,0.2793,0.0099,849.5,28.9,82.22,3.83
random,-,-,1,125.515,0.0,125.515,2175.26,0.0,12.3,1.1881,0.0,4876.0,0.0,247.06,0.0
webster,-,-,1,152.314,0.0,152.314,2940.22,0.0,16.07,0.5972,0.0,2481.0,0.0,492.77,0.0
