algo,reward,n_seeds,mean_queue,std_queue,mean_wait_per_veh,std_wait_per_veh,mean_travel_time,std_travel_time,mean_throughput,mean_speed
ddqn,pressure,8,8.844,8.951,80.266,104.182,56.424,1.464,2700.0,7.427
ddqn,queue,8,2.697,0.436,0.8,0.144,57.135,1.156,2819.625,8.707
ddqn,wait-clip,8,1.999,0.171,0.667,0.006,55.098,0.465,2820.5,9.019
dqn,pressure,8,9.417,18.572,65.144,170.292,55.713,1.816,2653.75,8.101
dqn,queue,8,4.742,5.245,24.144,61.604,57.942,1.06,2781.5,8.195
dqn,wait-clip,8,9.241,18.524,74.714,195.375,58.181,5.058,2645.75,8.015
fixed,-,1,14.376,0.0,6.622,0.0,76.593,0.0,2797.0,6.341
ppo,pressure,8,1.867,0.0,0.672,0.0,54.738,0.0,2822.0,9.037
ppo,queue,8,1.867,0.0,0.672,0.0,54.738,0.0,2822.0,9.037
ppo,wait-clip,8,11.348,19.633,102.074,207.481,54.468,2.273,2602.75,7.769
random,-,1,21.615,0.0,7.09,0.0,96.914,0.0,2818.0,5.169
webster,-,1,33.376,0.0,6.181,0.0,133.451,0.0,2743.0,3.783
