algo,reward,n_seeds,mean_queue,std_queue,mean_wait_per_veh,std_wait_per_veh,mean_travel_time,std_travel_time,mean_throughput,mean_speed
ddqn,pressure,5,9.379,9.319,90.161,124.422,57.301,2.493,2695.6,7.172
ddqn,queue,5,2.197,0.384,0.763,0.142,56.356,1.269,2820.0,8.869
ddqn,wait-clip,5,1.944,0.09,0.692,0.079,55.613,0.482,2820.0,8.963
dqn,pressure,5,2.651,0.201,0.873,0.063,58.282,0.734,2820.8,8.614
dqn,queue,5,2.251,0.283,0.79,0.108,56.89,0.798,2822.2,8.814
dqn,wait-clip,5,6.658,6.097,65.987,89.296,55.286,1.179,2724.0,7.645
ppo,pressure,5,10.259,11.271,103.195,140.352,55.021,1.172,2685.4,7.333
ppo,queue,5,1.913,0.059,0.68,0.069,55.315,0.836,2822.0,8.994
ppo,wait-clip,5,1.907,0.044,0.75,0.059,55.719,0.741,2821.0,8.965
fixed,-,1,14.246,0.0,6.414,0.0,75.484,0.0,2797.0,6.426
random,-,1,20.762,0.0,11.221,0.0,104.547,0.0,2816.0,5.037
webster,-,1,33.376,0.0,6.181,0.0,133.451,0.0,2743.0,3.783
