algo,reward,n_seeds,mean_queue,std_queue,mean_wait_per_veh,std_wait_per_veh,mean_travel_time,std_travel_time,mean_throughput,mean_speed
ddqn,pressure,10,23.611,31.955,286.153,363.343,55.946,4.367,2356.4,6.125
ddqn,queue,10,21.824,23.484,207.703,252.086,56.5,2.531,2443.1,6.328
ddqn,wait-clip,10,10.003,16.125,85.965,154.16,56.34,1.366,2646.3,7.623
dqn,pressure,10,42.883,35.262,371.789,348.436,65.697,12.289,2081.9,4.38
dqn,queue,10,23.966,20.934,238.592,238.611,62.041,10.804,2422.0,5.714
dqn,wait-clip,10,13.861,19.88,90.46,193.268,64.304,22.487,2605.4,7.215
fixed,-,1,14.325,0.0,6.532,0.0,75.857,0.0,2800.0,6.398
ppo,pressure,10,22.424,23.444,206.092,234.376,53.911,1.597,2331.3,6.364
ppo,queue,10,15.509,22.353,138.014,223.982,55.182,1.517,2516.9,7.313
ppo,wait-clip,10,6.756,7.837,59.237,92.198,55.077,1.077,2731.5,7.918
random,-,1,22.639,0.0,12.009,0.0,98.555,0.0,2688.0,4.929
webster,-,1,33.376,0.0,6.181,0.0,133.451,0.0,2743.0,3.783
