algo,reward,n_seeds,mean_queue,std_queue,mean_wait_per_veh,std_wait_per_veh,mean_travel_time,std_travel_time,mean_throughput,mean_speed
ddqn,pressure,10,20.079,14.274,201.08,156.073,57.058,2.05,2464.1,5.695
ddqn,queue,10,5.238,5.102,36.38,69.574,57.05,1.4,2759.2,8.036
ddqn,wait-clip,10,3.204,3.401,18.054,51.943,55.94,0.834,2795.3,8.586
dqn,pressure,10,5.309,5.049,35.908,70.368,58.227,0.866,2768.8,7.941
dqn,queue,10,5.237,5.3,37.098,72.182,58.981,3.319,2765.8,7.888
dqn,wait-clip,10,20.063,17.783,183.694,152.786,55.945,2.148,2425.3,5.975
fixed,-,1,14.246,0.0,6.414,0.0,75.484,0.0,2797.0,6.426
ppo,pressure,10,34.431,25.211,307.574,225.164,53.783,1.479,2033.0,5.142
ppo,queue,10,4.093,6.245,26.674,77.864,56.094,0.99,2787.4,8.528
ppo,wait-clip,10,6.889,7.855,64.711,99.141,55.578,0.918,2726.9,7.828
random,-,1,20.762,0.0,11.221,0.0,104.547,0.0,2816.0,5.037
webster,-,1,33.376,0.0,6.181,0.0,133.451,0.0,2743.0,3.783
