algo,reward,n_runs,mean_queue,std_queue,mean_wait,std_wait,mean_speed,std_speed,mean_throughput,mean_travel_time
ddqn,pressure,5,2.529,0.352,8.765,1.859,8.352,0.1,2014.6,90.426
ddqn,queue,5,2.559,0.601,8.554,2.684,8.438,0.2,2012.6,89.093
ddqn,wait-clip,5,12.513,21.063,11776.024,23539.655,7.765,1.37,1987.4,91.068
dqn,pressure,5,2.33,0.414,7.231,1.552,8.417,0.127,2015.4,89.609
dqn,queue,5,2.295,0.441,7.031,1.96,8.498,0.119,2013.6,88.161
dqn,wait-clip,5,2.491,0.542,35.711,56.505,8.328,0.132,2013.2,91.256
fixed,-,1,16.415,0.0,287.874,0.0,6.626,0.0,2001.0,113.606
ppo,pressure,5,1.931,0.031,5.503,0.491,8.509,0.045,2016.8,88.439
ppo,queue,5,2.029,0.043,6.365,0.378,8.457,0.044,2014.0,89.189
ppo,wait-clip,5,2.011,0.038,5.665,0.294,8.482,0.04,2013.8,88.975
random,-,1,19.711,0.0,303.057,0.0,5.905,0.0,1995.0,132.647
webster,-,1,30.531,0.0,595.935,0.0,5.428,0.0,1996.0,151.347
