algo,reward,n_runs,mean_queue,std_queue,mean_wait,std_wait,mean_speed,std_speed,mean_throughput,mean_travel_time
ddqn,pressure,10,2.437,0.546,8.304,2.607,8.363,0.206,2013.5,90.306
ddqn,queue,10,18.505,48.301,12702.221,38077.923,7.973,1.466,1943.3,88.686
ddqn,wait-clip,10,12.737,15.416,22759.378,28633.383,6.817,1.797,1922.9,90.0
dqn,pressure,10,17.925,45.992,15481.482,46419.279,7.677,2.117,1945.1,111.763
dqn,queue,10,2.548,0.447,8.262,1.934,8.433,0.16,2013.1,89.026
dqn,wait-clip,10,6.027,5.526,9537.362,18290.86,7.354,1.747,1936.1,91.187
fixed,-,1,17.368,0.0,307.961,0.0,6.516,0.0,2000.0,115.312
ppo,pressure,10,1.959,0.028,5.501,0.428,8.494,0.026,2015.4,88.595
ppo,queue,10,10.964,26.789,5408.679,16207.372,8.103,1.11,1966.9,88.548
ppo,wait-clip,10,2.003,0.031,5.902,0.411,8.496,0.036,2014.8,88.73
random,-,1,20.244,0.0,314.996,0.0,5.823,0.0,1987.0,133.299
webster,-,1,45.849,0.0,612.672,0.0,3.634,0.0,1934.0,223.435
