algo,reward,n_runs,mean_queue,std_queue,mean_wait,std_wait,mean_speed,std_speed,mean_throughput,mean_travel_time
ddqn,pressure,10,2.183,0.206,6.735,1.183,8.462,0.066,2016.0,89.128
ddqn,queue,10,2.566,0.663,12.196,9.206,8.38,0.186,2014.2,89.987
ddqn,wait-clip,10,4.077,3.86,3086.366,6156.511,8.141,0.604,2010.9,89.785
dqn,pressure,10,2.206,0.231,6.555,1.184,8.501,0.106,2015.2,88.578
dqn,queue,10,2.578,1.021,14.093,20.761,8.452,0.17,2013.8,89.03
dqn,wait-clip,10,3.048,2.937,1542.019,4609.148,8.3,0.475,2013.6,89.401
fixed,-,1,17.126,0.0,299.679,0.0,6.566,0.0,2001.0,114.995
ppo,pressure,10,1.966,0.037,5.424,0.345,8.5,0.016,2013.3,88.334
ppo,queue,10,1.997,0.067,5.574,0.638,8.462,0.053,2014.5,89.016
ppo,wait-clip,10,2.0,0.049,5.986,0.595,8.49,0.041,2014.4,88.714
random,-,1,19.711,0.0,305.826,0.0,5.922,0.0,1990.0,131.103
webster,-,1,45.849,0.0,612.672,0.0,3.634,0.0,1934.0,223.435
