algo,reward,obs_mode,n_runs,mean_queue,std_queue,median_queue,mean_wait,std_wait,mean_wait_per_veh,mean_speed,std_speed,mean_throughput,std_throughput,mean_travel_time,std_travel_time
ddqn,pressure,resco,4,62.83,43.911,43.204,59744.47,102027.94,405.3,2.2663,0.6882,7049.2,1993.7,117.94,15.29
ddqn,queue,resco,4,62.83,43.911,43.204,59744.47,102027.94,405.3,2.2663,0.6882,7049.2,1993.7,117.94,15.29
ddqn,wait-clip,resco,8,30.335,3.223,29.541,273.99,110.9,8.77,2.9275,0.343,8019.0,611.6,101.95,10.93
dqn,pressure,resco,4,104.064,70.616,94.06,236770.15,247489.63,1130.6,1.8466,1.1842,5364.8,3074.0,96.37,4.76
dqn,queue,resco,4,104.064,70.616,94.06,236770.15,247489.63,1130.6,1.8466,1.1842,5364.8,3074.0,96.37,4.76
dqn,wait-clip,resco,8,30.251,4.686,29.445,253.87,102.28,8.01,2.9378,0.3301,7960.8,455.7,101.59,9.41
fixed,-,-,1,86.74,0.0,86.74,4066.77,0.0,36.67,1.9238,0.0,5183.0,0.0,151.43,0.0
ppo,pressure,raw,8,31.973,9.464,31.667,465.13,391.27,3.84,2.1493,0.3614,6048.5,976.3,139.38,22.92
ppo,queue,raw,8,73.198,38.71,68.325,146517.22,189753.75,1157.48,1.3378,0.9538,4114.2,3039.7,126.89,50.45
ppo,wait-clip,raw,8,99.701,50.324,97.019,240924.07,220502.68,1538.68,0.9779,0.702,3027.2,2168.6,116.44,55.71
random,-,-,1,63.806,0.0,63.806,1112.02,0.0,9.66,1.6872,0.0,4609.0,0.0,173.09,0.0
webster,-,-,1,86.908,0.0,86.908,1267.4,0.0,10.74,0.8389,0.0,2356.0,0.0,349.5,0.0
