algo,reward,seed,mean_queue,mean_wait,mean_wait_per_veh,mean_speed,throughput,mean_travel_time,total_reward
ddqn,pressure,s123,324.50416666666666,861958.4131944445,2104.667373324044,1.2587073179138213,5254,124.79539398553483,-142.0679467205191
random,-,0,537.6340277777778,14812.21388888889,19.00123143458591,1.2714699118814774,8905,521.6900617630545,0.0
fixed,-,-,591.3770833333333,29111.391666666666,38.49572679581123,1.1411731730058263,8471,551.9289340101523,0.0
ddqn,pressure,s2025,308.5104166666667,823834.807638889,2171.7263353996277,1.3203661319634596,5318,151.29183903723205,-129.19758194882888
webster,-,-,814.8795833333334,18362.59875,17.84232074027503,0.5784779919311478,4804,1193.217110741049,0.0
ddqn,pressure,s2718,318.14930555555554,1064554.6055555556,2786.7361339915383,1.1745928274757227,4874,74.81739844070579,-129.8794375822181
ddqn,pressure,s314,319.3833333333333,1059069.0472222222,2778.0914540566823,1.145073879207679,4872,76.5353037766831,-127.86028401798103
ddqn,pressure,s42,323.7027777777778,1048479.93125,2718.5854162938313,1.1024527434069644,4815,87.18380062305296,-115.71935440192465
ddqn,pressure,s999,318.21736111111113,1062160.5145833334,2785.976329023844,1.1621275763368755,4872,75.41461412151067,-129.77984069066588
ddqn,pressure,s777,486.0465277777778,1487520.007638889,2617.922397781759,0.6503258969779245,2715,104.93738489871086,-196.98709080414847
ddqn,pressure,s9999,518.4375,1428161.1208333333,2327.740729583343,0.6266060386004572,2965,130.86846543001687,-200.1610770743573
ddqn,queue,s123,420.43194444444447,1380753.2618055556,2798.600708111709,0.8132073170616312,3623,81.6229643941485,-175.47763199324254
ddqn,queue,s2025,293.23541666666665,818122.9756944445,2181.628637163053,1.5117539833032014,6059,132.60026406997855,-127.72560718364548
ddqn,queue,s2718,319.04027777777776,1071548.601388889,2795.796310103276,1.2127337223161823,4869,73.81084411583487,-130.10383239632938
ddqn,queue,s314,319.50555555555553,1060977.0708333333,2767.3308819288172,1.1465692406067165,4869,77.96056685150955,-129.04677563218866
ddqn,queue,s777,246.56597222222223,593006.1333333333,1844.6832273344478,1.702400989451203,5804,104.0696071674707,-109.39576810633298
ddqn,queue,s42,320.8354166666667,1077637.711111111,2796.601174414613,1.208367935142718,4869,73.83138221400698,-130.5866950871423
ddqn,queue,s999,446.90277777777777,1413143.4715277778,2689.441506702336,0.7829577048704461,3941,88.79218472468916,-159.8651163043687
ddqn,queue,s9999,323.4951388888889,1086593.7513888888,2803.825908209592,1.2022976917741726,4866,73.19256062474311,-131.13246069906745
ddqn,wait-clip,s123,420.6979166666667,1078442.7194444444,2097.703031605483,0.839506095696557,3055,134.21440261865794,-187.81451926974114
ddqn,wait-clip,s2025,556.7479166666667,1870654.7666666666,3157.512605712461,0.22567839244845672,389,58.72750642673522,-212.37681729684118
ddqn,wait-clip,s42,317.11597222222224,1065468.1805555555,2797.561598689102,1.2205066874397668,4871,73.43461301580784,-130.0675420780899
ddqn,wait-clip,s2718,699.2930555555556,2362408.20625,3173.004209140564,0.15883130043832877,367,46.38964577656676,-197.28164741082583
ddqn,wait-clip,s314,697.95625,2356748.907638889,3170.0421580514353,0.15477740013633134,368,45.99184782608695,-196.63628478872124
ddqn,wait-clip,s777,611.1625,2072268.7840277778,3196.733686495078,0.1638680945581998,288,46.49305555555556,-210.38831052428577
ddqn,wait-clip,s999,320.7027777777778,1077568.3006944444,2798.357225835625,1.2088543551382307,4872,73.43185550082102,-130.54899346001912
ddqn,wait-clip,s9999,321.90486111111113,1080334.4618055555,2799.072331107587,1.2074664994416162,4875,73.24410256410256,-131.17802653217223
dqn,pressure,s123,257.9298611111111,665875.8291666667,2024.8883322862375,1.6612223416210368,6416,168.8497506234414,-121.91330857912544
dqn,pressure,s2718,420.6638888888889,1381112.4569444444,2794.3824271625967,0.8243951798610774,3625,82.42344827586207,-175.57097841321956
dqn,pressure,s2025,525.7597222222222,965722.8145833333,1509.862043966596,0.693381777308412,3910,331.7084398976982,-196.05423416441772
dqn,pressure,s314,487.2055555555556,1229625.9722222222,2107.5963440625565,0.7421573443697478,4412,176.30893019038984,-166.74515819142107
dqn,pressure,s42,588.56875,1533320.2104166667,2023.322560921008,0.8160384992672481,4136,122.65715667311412,-184.13911076949444
dqn,pressure,s777,297.6402777777778,819091.08125,2207.031840790312,1.348739110349559,5608,142.13623395149787,-127.32782413775567
