algo,reward,n_runs,mean_queue,std_queue,mean_wait,std_wait,mean_speed,std_speed,mean_throughput,mean_travel_time
ddqn,pressure,8,360.325,82.771,1103130.456,231547.334,1.071,0.275,0.0,0.0
ddqn,queue,8,334.447,61.14,1061737.295,241481.777,1.199,0.285,0.0,0.0
ddqn,wait-clip,8,492.723,156.873,1619970.688,563177.405,0.647,0.487,0.0,0.0
dqn,pressure,8,435.342,108.883,1172460.542,351485.356,0.96,0.341,0.0,0.0
dqn,queue,8,371.545,120.36,1161803.52,397422.98,1.108,0.473,0.0,0.0
dqn,wait-clip,8,476.397,195.891,1550746.295,654816.92,0.762,0.452,0.0,0.0
fixed,-,1,598.172,0.0,28047.141,0.0,1.124,0.0,0.0,0.0
ppo,pressure,8,318.122,1.441,1069233.716,4518.489,1.215,0.003,0.0,0.0
ppo,queue,8,336.392,43.923,1113773.012,138538.139,1.163,0.129,0.0,0.0
ppo,wait-clip,8,606.749,60.512,2069028.179,188040.581,0.141,0.046,0.0,0.0
random,-,1,537.706,0.0,14988.333,0.0,1.278,0.0,0.0,0.0
webster,-,1,814.88,0.0,18362.599,0.0,0.578,0.0,0.0,0.0
