algo,reward,seed,scope,flow,mean_queue,mean_wait,mean_speed,total_reward
fixed,-,-,multi,high,15.878,192.193,7.55269149566516,-15.878
fixed,-,-,multi,medium,7.095,87.806,7.923076673328331,-7.095
fixed,-,-,multi,low,4.185,51.985,8.027698189865951,-4.185
webster,-,-,multi,high,8.6548,30.1956,8.332092606509988,-8.6548
webster,-,-,multi,medium,1.4952,4.3288,10.163636864723111,-1.4952
webster,-,-,multi,low,0.759,2.0144,10.427117001019322,-0.759
dqn,wait-clip,s123,multi,high,1.6098923015556441,164.6533705624252,7.666986989713467,-155.51000000000067
dqn,wait-clip,s123,multi,medium,0.4011299435028249,72.77718926553672,8.189747124270584,-35.58999999999999
dqn,wait-clip,s123,multi,low,0.1819342483242898,42.187998723268436,8.38298155864045,-15.209999999999944
dqn,wait-clip,s42,multi,high,1.5931117340808971,168.01762114537445,7.711433903916685,-155.99000000000026
dqn,wait-clip,s42,multi,medium,0.4238975817923186,71.55903271692745,8.201298273734544,-37.880000000000024
dqn,wait-clip,s42,multi,low,0.18655027481409633,42.473003556417716,8.393769955805155,-15.709999999999937
dqn,wait-clip,s777,multi,high,1.6041831097079715,168.07330307813734,7.689502305605474,-167.51000000000033
dqn,wait-clip,s777,multi,medium,0.4234330484330484,73.20922364672364,8.23870314188843,-37.599999999999994
dqn,wait-clip,s777,multi,low,0.18332801022037687,42.50654742893644,8.341630143218508,-15.27999999999994
ppo,average-speed,s123,multi,high,12.339,146.734,8.23566893677117,-16.850201612903163
ppo,average-speed,s123,multi,medium,4.234,45.435,8.91462156797523,-6.0969758064515505
ppo,average-speed,s123,multi,low,2.47,27.46,9.040311271609317,-3.6822580645161764
ppo,average-speed,s42,multi,high,9.059,44.248,8.504858237354531,-12.638709677419332
ppo,average-speed,s42,multi,medium,2.981,13.636,9.278250151652431,-4.373790322580657
ppo,average-speed,s42,multi,low,1.714,8.068,9.382109455044505,-2.6080645161290605
ppo,average-speed,s777,multi,high,9.019,73.328,8.86254593957861,-12.572782258064473
ppo,average-speed,s777,multi,medium,2.922,22.061,9.584148023123747,-4.48548387096776
ppo,average-speed,s777,multi,low,1.669,12.613,9.74162406823584,-2.606250000000033
ppo,diff-waiting-time,s123,multi,high,110.786,32991.484,3.757397260030614,-134.436693548388
ppo,diff-waiting-time,s123,multi,medium,3.384,24.356,9.311284503061538,-5.006653225806434
ppo,diff-waiting-time,s123,multi,low,1.847,13.17,9.476051414735517,-2.830241935483899
ppo,diff-waiting-time,s42,multi,high,12.665,125.658,8.15757533419193,-17.428427419354808
ppo,diff-waiting-time,s42,multi,medium,3.549,31.741,9.348105256218572,-5.295564516129006
ppo,diff-waiting-time,s42,multi,low,1.965,17.379,9.505752803158513,-3.015524193548441
ppo,diff-waiting-time,s777,multi,high,11.744,104.488,8.327355532997863,-16.29516129032256
ppo,diff-waiting-time,s777,multi,medium,3.038,23.274,9.554195755536359,-4.559879032258061
ppo,diff-waiting-time,s777,multi,low,1.827,14.426,9.604191238452676,-2.8040322580645616
ppo,pressure,s123,multi,high,9.15,73.548,8.834635337901448,-12.833266129032333
ppo,pressure,s123,multi,medium,2.982,22.328,9.525844675886114,-4.461491935483873
ppo,pressure,s123,multi,low,1.663,12.329,9.718298404668891,-2.566935483870999
ppo,pressure,s42,multi,high,9.46,48.342,8.454748229802867,-13.152419354838724
ppo,pressure,s42,multi,medium,2.981,14.008,9.29625250762325,-4.367137096774207
ppo,pressure,s42,multi,low,1.726,8.467,9.437575565851066,-2.6340725806452063
ppo,pressure,s777,multi,high,10.639,110.591,8.332023547164267,-14.530645161290298
ppo,pressure,s777,multi,medium,4.492,44.533,8.698361471063292,-6.385483870967683
ppo,pressure,s777,multi,low,2.555,25.442,8.86149994768242,-3.788306451612966
ppo,queue_raw,s42,multi,high,10.0,71.017,8.589412891056151,-13.770967741935396
ppo,queue_raw,s42,multi,medium,3.118,20.083,9.473463839224761,-4.638104838709697
ppo,queue_raw,s42,multi,low,1.681,10.837,9.622620872290321,-2.5864919354839198
ppo,queue,s123,multi,high,9.681,51.949,8.403596075777408,-13.527016129032221
ppo,queue,s123,multi,medium,3.119,15.73,9.303096176723168,-4.555241935483885
ppo,queue,s123,multi,low,1.744,8.786,9.439765656206415,-2.6673387096774586
ppo,queue,s42,multi,high,12.685,144.704,8.040242148836224,-16.347983870967763
ppo,queue,s42,multi,medium,5.882,64.569,8.342846379294729,-8.015120967741904
ppo,queue,s42,multi,low,3.429,37.946,8.424209347536024,-4.946169354838691
ppo,queue,s777,multi,high,9.652,83.837,8.71240841387751,-13.457056451612901
ppo,queue,s777,multi,medium,3.107,23.102,9.497105813476612,-4.696774193548404
ppo,queue,s777,multi,low,1.675,12.479,9.694088252838354,-2.571975806451685
