algo,reward,scope,flow,n_runs,mean_queue,std_queue,mean_wait,std_wait,mean_speed,std_speed
dqn,wait-clip,multi,high,3,1.602,0.007,166.91,1.6,7.6893,0.0181
dqn,wait-clip,multi,low,3,0.184,0.002,42.39,0.14,8.3728,0.0225
dqn,wait-clip,multi,medium,3,0.416,0.011,72.52,0.7,8.2099,0.0209
fixed,-,multi,high,1,15.878,0.0,192.19,0.0,7.5527,0.0
fixed,-,multi,low,1,4.185,0.0,51.98,0.0,8.0277,0.0
fixed,-,multi,medium,1,7.095,0.0,87.81,0.0,7.9231,0.0
ppo,average-speed,multi,high,3,10.139,1.556,88.1,43.12,8.5344,0.2568
ppo,average-speed,multi,low,3,1.951,0.367,16.05,8.28,9.388,0.2863
ppo,average-speed,multi,medium,3,3.379,0.605,27.04,13.45,9.259,0.2737
ppo,diff-waiting-time,multi,high,3,45.065,46.473,11073.88,15498.09,6.7474,2.1154
ppo,diff-waiting-time,multi,low,3,1.88,0.061,14.99,1.76,9.5287,0.0548
ppo,diff-waiting-time,multi,medium,3,3.324,0.213,26.46,3.76,9.4045,0.1069
ppo,pressure,multi,high,3,9.75,0.641,77.49,25.57,8.5405,0.214
ppo,pressure,multi,low,3,1.981,0.406,15.41,7.26,9.3391,0.3566
ppo,pressure,multi,medium,3,3.485,0.712,26.96,12.88,9.1735,0.3488
ppo,queue,multi,high,3,10.673,1.423,93.5,38.48,8.3854,0.2747
ppo,queue,multi,low,3,2.283,0.811,19.74,12.96,9.186,0.5486
ppo,queue,multi,medium,3,4.036,1.305,34.47,21.5,9.0477,0.5046
ppo,queue_raw,multi,high,1,10.0,0.0,71.02,0.0,8.5894,0.0
ppo,queue_raw,multi,low,1,1.681,0.0,10.84,0.0,9.6226,0.0
ppo,queue_raw,multi,medium,1,3.118,0.0,20.08,0.0,9.4735,0.0
webster,-,multi,high,1,8.655,0.0,30.2,0.0,8.3321,0.0
webster,-,multi,low,1,0.759,0.0,2.01,0.0,10.4271,0.0
webster,-,multi,medium,1,1.495,0.0,4.33,0.0,10.1636,0.0
