algo,reward,seed,flow,cycle_num,queue_length
fixed,-,-,high,0,1.4444444444444444
fixed,-,-,high,1,4.555555555555555
fixed,-,-,high,2,4.722222222222222
fixed,-,-,high,3,4.666666666666667
fixed,-,-,high,4,5.333333333333333
fixed,-,-,high,5,4.555555555555555
fixed,-,-,high,6,4.944444444444445
fixed,-,-,high,7,4.833333333333333
fixed,-,-,high,8,5.555555555555555
fixed,-,-,high,9,4.777777777777778
fixed,-,-,high,10,4.833333333333333
fixed,-,-,high,11,5.666666666666667
fixed,-,-,high,12,5.0
fixed,-,-,high,13,4.5
fixed,-,-,high,14,5.611111111111111
fixed,-,-,high,15,5.722222222222222
fixed,-,-,high,16,4.777777777777778
fixed,-,-,high,17,3.2222222222222223
fixed,-,-,high,18,5.055555555555555
fixed,-,-,high,19,4.388888888888889
fixed,-,-,high,20,4.944444444444445
fixed,-,-,high,21,5.611111111111111
fixed,-,-,high,22,3.611111111111111
fixed,-,-,high,23,3.5555555555555554
fixed,-,-,high,24,4.111111111111111
fixed,-,-,high,25,6.111111111111111
fixed,-,-,high,26,5.0
fixed,-,-,high,27,4.666666666666667
fixed,-,-,high,28,5.222222222222222
fixed,-,-,high,29,6.222222222222222
fixed,-,-,high,30,5.222222222222222
fixed,-,-,high,31,4.5
fixed,-,-,high,32,4.166666666666667
fixed,-,-,high,33,4.333333333333333
fixed,-,-,high,34,4.722222222222222
fixed,-,-,high,35,4.222222222222222
fixed,-,-,high,36,5.166666666666667
fixed,-,-,high,37,4.388888888888889
fixed,-,-,high,38,4.111111111111111
fixed,-,-,high,39,3.8333333333333335
fixed,-,-,high,40,5.166666666666667
fixed,-,-,high,41,3.8333333333333335
fixed,-,-,high,42,3.6666666666666665
fixed,-,-,high,43,5.5
fixed,-,-,high,44,5.222222222222222
fixed,-,-,high,45,4.222222222222222
fixed,-,-,high,46,5.666666666666667
fixed,-,-,high,47,5.777777777777778
fixed,-,-,high,48,6.555555555555555
fixed,-,-,high,49,4.166666666666667
fixed,-,-,high,50,5.944444444444445
fixed,-,-,high,51,5.388888888888889
fixed,-,-,high,52,6.555555555555555
fixed,-,-,high,53,6.388888888888889
fixed,-,-,high,54,4.277777777777778
fixed,-,-,high,55,2.5
webster,-,-,high,0,0.7640449438202247
webster,-,-,high,1,0.5888888888888889
webster,-,-,high,2,0.7222222222222222
webster,-,-,high,3,0.8555555555555555
webster,-,-,high,4,0.7111111111111111
webster,-,-,high,5,0.9888888888888889
webster,-,-,high,6,0.7555555555555555
webster,-,-,high,7,0.5555555555555556
webster,-,-,high,8,1.0888888888888888
webster,-,-,high,9,1.0222222222222221
webster,-,-,high,10,1.0777777777777777
webster,-,-,high,11,0.7555555555555555
webster,-,-,high,12,0.9111111111111111
webster,-,-,high,13,0.8777777777777778
webster,-,-,high,14,0.8666666666666667
webster,-,-,high,15,0.8
webster,-,-,high,16,0.9555555555555556
webster,-,-,high,17,1.211111111111111
webster,-,-,high,18,0.9666666666666667
webster,-,-,high,19,1.1555555555555554
webster,-,-,high,20,1.1666666666666667
webster,-,-,high,21,1.0666666666666667
webster,-,-,high,22,1.211111111111111
webster,-,-,high,23,1.1222222222222222
webster,-,-,high,24,0.6555555555555556
webster,-,-,high,25,1.0444444444444445
